name,uri
deep-sea channels,http://aims.fao.org/aos/agrovoc/c_e863ced5
drifting buoys,http://aims.fao.org/aos/agrovoc/c_10d98246
double diffusive instability,http://aims.fao.org/aos/agrovoc/c_9d62edec
pack ice,http://aims.fao.org/aos/agrovoc/c_c4548970
dioxins,http://aims.fao.org/aos/agrovoc/c_33477
design,http://aims.fao.org/aos/agrovoc/c_2208
passive margins,http://aims.fao.org/aos/agrovoc/c_e65bc36d
detonators,http://aims.fao.org/aos/agrovoc/c_8f61e757
dredges (geology),http://aims.fao.org/aos/agrovoc/c_d671b98d
defence mechanisms,http://aims.fao.org/aos/agrovoc/c_35269
therapy,http://aims.fao.org/aos/agrovoc/c_7715
diapause,http://aims.fao.org/aos/agrovoc/c_2242
dissolved inorganic matter,http://aims.fao.org/aos/agrovoc/c_e4c85b30
disease recognition,http://aims.fao.org/aos/agrovoc/c_3400
developed countries,http://aims.fao.org/aos/agrovoc/c_2221
discus-shaped buoys,http://aims.fao.org/aos/agrovoc/c_a8b8c200
diesel oil,http://aims.fao.org/aos/agrovoc/c_34813
density field,http://aims.fao.org/aos/agrovoc/c_2ba89157
illustrations,http://aims.fao.org/aos/agrovoc/c_56c00cc3
vertical migration,http://aims.fao.org/aos/agrovoc/c_5acca5dc
instability,http://aims.fao.org/aos/agrovoc/c_223a9377
diastrophism,http://aims.fao.org/aos/agrovoc/c_9d6b437e
biotic factors,http://aims.fao.org/aos/agrovoc/c_4f42a5b9
ocean floor,http://aims.fao.org/aos/agrovoc/c_5a2c4eda
dry matter content,http://aims.fao.org/aos/agrovoc/c_2398
dysprosium,http://aims.fao.org/aos/agrovoc/c_da751025
dunes,http://aims.fao.org/aos/agrovoc/c_2410
databases,http://aims.fao.org/aos/agrovoc/c_24833
dynamical oceanography,http://aims.fao.org/aos/agrovoc/c_8e092706
dissolved organic phosphorus,http://aims.fao.org/aos/agrovoc/c_19784f1a
diffraction,http://aims.fao.org/aos/agrovoc/c_50122
nitrous oxide,http://aims.fao.org/aos/agrovoc/c_12838
diurnal thermocline,http://aims.fao.org/aos/agrovoc/c_f8434072
pycnocline,http://aims.fao.org/aos/agrovoc/c_36a235ae
dimensions,http://aims.fao.org/aos/agrovoc/c_2283
associated species,http://aims.fao.org/aos/agrovoc/c_5bbae9c4
skin,http://aims.fao.org/aos/agrovoc/c_7097
distribution records,http://aims.fao.org/aos/agrovoc/c_05ba5b54
deep-sea diving,http://aims.fao.org/aos/agrovoc/c_7b540c5d
feeding preferences,http://aims.fao.org/aos/agrovoc/c_29779
dissolved oxygen,http://aims.fao.org/aos/agrovoc/c_36106
household wastes,http://aims.fao.org/aos/agrovoc/c_35240
drowning,http://aims.fao.org/aos/agrovoc/c_a7e19779
deep-sea tide gauges,http://aims.fao.org/aos/agrovoc/c_4c4fe296
directional spectra,http://aims.fao.org/aos/agrovoc/c_dd43ad65
pharmaceutical pollution,http://aims.fao.org/aos/agrovoc/c_5e0fe008
sensors,http://aims.fao.org/aos/agrovoc/c_28279
berthing,http://aims.fao.org/aos/agrovoc/c_c3c7073b
discoloured water,http://aims.fao.org/aos/agrovoc/c_82627993
scales,http://aims.fao.org/aos/agrovoc/c_6838
damage,http://aims.fao.org/aos/agrovoc/c_26768
diffusion,http://aims.fao.org/aos/agrovoc/c_24936
digestive system,http://aims.fao.org/aos/agrovoc/c_2275
diagnostic techniques,http://aims.fao.org/aos/agrovoc/c_16712
discolouration,http://aims.fao.org/aos/agrovoc/c_26771
dynamic height,http://aims.fao.org/aos/agrovoc/c_05e91eaa
deflection,http://aims.fao.org/aos/agrovoc/c_672ec3a8
dialysis,http://aims.fao.org/aos/agrovoc/c_2240
dissolved organic matter,http://aims.fao.org/aos/agrovoc/c_f08ffa0c
information storage,http://aims.fao.org/aos/agrovoc/c_3866
dioxides,http://aims.fao.org/aos/agrovoc/c_10386
decarboxylation,http://aims.fao.org/aos/agrovoc/c_b02b64a2
diving,http://aims.fao.org/aos/agrovoc/c_816e729b
dead water,http://aims.fao.org/aos/agrovoc/c_2c926203
denitrification,http://aims.fao.org/aos/agrovoc/c_15869
demersal fish,http://aims.fao.org/aos/agrovoc/c_70541e30
abiotic factors,http://aims.fao.org/aos/agrovoc/c_5b384c25
drainage systems,http://aims.fao.org/aos/agrovoc/c_25331
display behaviour,http://aims.fao.org/aos/agrovoc/c_718f6455
data reports,http://aims.fao.org/aos/agrovoc/c_dc44d445
demineralization,http://aims.fao.org/aos/agrovoc/c_2174
degassing,http://aims.fao.org/aos/agrovoc/c_2158
diversification,http://aims.fao.org/aos/agrovoc/c_2344
deep-sea furrows,http://aims.fao.org/aos/agrovoc/c_1ddf4eb8
dolomitization,http://aims.fao.org/aos/agrovoc/c_881a9371
dynamic viscosity,http://aims.fao.org/aos/agrovoc/c_8cf3a082
marine debris,http://aims.fao.org/aos/agrovoc/c_e00d50ff
crab fisheries,http://aims.fao.org/aos/agrovoc/c_5b664798
data mining,http://aims.fao.org/aos/agrovoc/c_eb9cea5d
DNA sequences,http://aims.fao.org/aos/agrovoc/c_27812
nutrients,http://aims.fao.org/aos/agrovoc/c_5274
duration,http://aims.fao.org/aos/agrovoc/c_2412
diet,http://aims.fao.org/aos/agrovoc/c_2261
deep-sea fisheries,http://aims.fao.org/aos/agrovoc/c_82e2392d
endocrine glands,http://aims.fao.org/aos/agrovoc/c_2559
data collection,http://aims.fao.org/aos/agrovoc/c_2128
adipose tissue,http://aims.fao.org/aos/agrovoc/c_129
dust storms,http://aims.fao.org/aos/agrovoc/c_912310e8
dipeptides,http://aims.fao.org/aos/agrovoc/c_35978
biological rhythms,http://aims.fao.org/aos/agrovoc/c_923
distilling,http://aims.fao.org/aos/agrovoc/c_2336
deforestation,http://aims.fao.org/aos/agrovoc/c_15590
Bacillariophyceae,http://aims.fao.org/aos/agrovoc/c_32077
dredging,http://aims.fao.org/aos/agrovoc/c_50c7fa97
development projects,http://aims.fao.org/aos/agrovoc/c_2229
fishing dredges,http://aims.fao.org/aos/agrovoc/c_4079990c
drugs,http://aims.fao.org/aos/agrovoc/c_2395
dormancy,http://aims.fao.org/aos/agrovoc/c_2369
DDT,http://aims.fao.org/aos/agrovoc/c_33467
drying,http://aims.fao.org/aos/agrovoc/c_2402
damage assessment,http://aims.fao.org/aos/agrovoc/c_e7268555
disease control,http://aims.fao.org/aos/agrovoc/c_2327
decompression chambers,http://aims.fao.org/aos/agrovoc/c_4d802e5e
drug resistance,http://aims.fao.org/aos/agrovoc/c_10471
stress,http://aims.fao.org/aos/agrovoc/c_7452
nitrogen fixation,http://aims.fao.org/aos/agrovoc/c_5196
downward long wave radiation,http://aims.fao.org/aos/agrovoc/c_e516c17b
disease resistance,http://aims.fao.org/aos/agrovoc/c_2328
design wave,http://aims.fao.org/aos/agrovoc/c_13280765
decision-support systems,http://aims.fao.org/aos/agrovoc/c_49868
detoxification,http://aims.fao.org/aos/agrovoc/c_2219
deficiency diseases,http://aims.fao.org/aos/agrovoc/c_2154
digestion,http://aims.fao.org/aos/agrovoc/c_2271
ornamental plants,http://aims.fao.org/aos/agrovoc/c_5417
disputes,http://aims.fao.org/aos/agrovoc/c_95702bad
density interfaces,http://aims.fao.org/aos/agrovoc/c_1436cd0b
domestication,http://aims.fao.org/aos/agrovoc/c_2360
diverging plate boundaries,http://aims.fao.org/aos/agrovoc/c_d8efc5bc
disinfection,http://aims.fao.org/aos/agrovoc/c_10397
dredge spoil,http://aims.fao.org/aos/agrovoc/c_43057fa3
Devonian,http://aims.fao.org/aos/agrovoc/c_ead321dd
diving accidents,http://aims.fao.org/aos/agrovoc/c_64adad0f
distilled water,http://aims.fao.org/aos/agrovoc/c_36640
drifting stations,http://aims.fao.org/aos/agrovoc/c_0452a6de
thawing,http://aims.fao.org/aos/agrovoc/c_7706
nonpoint pollution,http://aims.fao.org/aos/agrovoc/c_16004
decanting,http://aims.fao.org/aos/agrovoc/c_16538
density flow,http://aims.fao.org/aos/agrovoc/c_7aadf348
disease outbreaks,http://aims.fao.org/aos/agrovoc/c_164ea2ee
housing,http://aims.fao.org/aos/agrovoc/c_3678
Doppler sonar,http://aims.fao.org/aos/agrovoc/c_94c80e84
denudation,http://aims.fao.org/aos/agrovoc/c_fd9a06fb
deicing,http://aims.fao.org/aos/agrovoc/c_3c73540e
surfactants,http://aims.fao.org/aos/agrovoc/c_7529
graphics,http://aims.fao.org/aos/agrovoc/c_5d8907a5
deficiencies,http://aims.fao.org/aos/agrovoc/c_330738
high sea fisheries,http://aims.fao.org/aos/agrovoc/c_11553
dynamic topography,http://aims.fao.org/aos/agrovoc/c_1810e50d
depleted stocks,http://aims.fao.org/aos/agrovoc/c_767897c7
dynamic loads,http://aims.fao.org/aos/agrovoc/c_0d0ac096
oxidoreductases,http://aims.fao.org/aos/agrovoc/c_5474
density stratification,http://aims.fao.org/aos/agrovoc/c_5eb4922f
data,http://aims.fao.org/aos/agrovoc/c_49816
Kelvin waves,http://aims.fao.org/aos/agrovoc/c_b2b980d9
destructive waves,http://aims.fao.org/aos/agrovoc/c_8dad63c7
deserts,http://aims.fao.org/aos/agrovoc/c_2205
research,http://aims.fao.org/aos/agrovoc/c_6513
